,student_id,name,age,gender,course,enrollment_date,final_grade,is_intern
91,S0092,Student_92,43,Female,Data Science,2023-12-27,52,Yes
92,S0093,Student_93,28,Female,AI Fundamentals,2023-09-30,87,No
93,S0094,Student_94,38,Male,Data Engineering,2023-09-30,74,No
94,S0095,Student_95,29,Male,Data Science,2023-09-24,85,No
95,S0096,Student_96,22,Female,Data Engineering,2023-01-06,53,Yes
96,S0097,Student_97,24,Male,Data Engineering,2023-03-09,57,Yes
97,S0098,Student_98,22,Female,Data Science,2023-06-16,77,Yes
98,S0099,Student_99,33,Male,Data Science,2023-10-02,100,No
99,S0100,Student_100,38,Female,Data Engineering,2023-04-05,52,No
100,S0101,Student_101,21,Female,AI Fundamentals,2023-10-15,98,No
101,S0102,Student_102,30,Male,Cloud Computing,2023-02-17,57,Yes
102,S0103,Student_103,22,Female,Data Engineering,2023-10-05,60,No
103,S0104,Student_104,38,Female,AI Fundamentals,2023-02-25,95,Yes
104,S0105,Student_105,26,Female,Data Engineering,2023-11-27,98,No
105,S0106,Student_106,32,Female,Data Science,2023-04-19,55,Yes
106,S0107,Student_107,33,Female,AI Fundamentals,2023-02-01,90,No
107,S0108,Student_108,38,Female,AI Fundamentals,2023-03-25,72,No
108,S0109,Student_109,21,Male,Data Engineering,2023-03-08,93,Yes
109,S0110,Student_110,44,Male,Cloud Computing,2023-05-28,51,No
110,S0111,Student_111,41,Female,Data Engineering,2023-06-09,56,No
111,S0112,Student_112,33,Female,Cloud Computing,2023-10-03,78,Yes
112,S0113,Student_113,31,Male,AI Fundamentals,2023-10-23,55,Yes
113,S0114,Student_114,39,Male,Cloud Computing,2023-03-03,90,Yes
114,S0115,Student_115,39,Male,Data Science,2023-04-08,60,Yes
115,S0116,Student_116,34,Male,Cloud Computing,2023-09-02,57,No
116,S0117,Student_117,35,Female,Cloud Computing,2023-08-25,79,No
117,S0118,Student_118,23,Female,AI Fundamentals,2023-08-11,86,No
118,S0119,Student_119,27,Male,Cloud Computing,2023-05-03,68,No
119,S0120,Student_120,21,Male,AI Fundamentals,2023-07-10,97,Yes
120,S0121,Student_121,18,Male,Data Science,2023-07-24,52,Yes
121,S0122,Student_122,23,Male,Data Science,2023-03-22,91,No
122,S0123,Student_123,18,Female,Data Engineering,2023-05-15,79,Yes
123,S0124,Student_124,35,Male,Data Engineering,2023-10-29,82,No
124,S0125,Student_125,36,Male,Data Engineering,2023-06-08,99,No
125,S0126,Student_126,22,Male,Data Science,2023-03-18,75,No
126,S0127,Student_127,20,Female,Cloud Computing,2023-07-01,86,No
127,S0128,Student_128,34,Female,AI Fundamentals,2023-04-01,69,No
128,S0129,Student_129,21,Female,Data Science,2023-05-15,82,No
129,S0130,Student_130,20,Male,Cloud Computing,2023-05-01,77,No
130,S0131,Student_131,28,Female,Data Engineering,2023-05-11,76,Yes
131,S0132,Student_132,31,Female,AI Fundamentals,2023-06-04,78,No
132,S0133,Student_133,34,Male,Data Engineering,2023-08-27,95,No
133,S0134,Student_134,25,Female,AI Fundamentals,2023-10-09,73,Yes
134,S0135,Student_135,39,Male,Cloud Computing,2023-01-14,68,Yes
135,S0136,Student_136,27,Female,Data Science,2023-08-08,55,Yes
136,S0137,Student_137,18,Female,Data Engineering,2023-03-04,51,Yes
137,S0138,Student_138,28,Male,Data Science,2023-02-27,71,No
138,S0139,Student_139,36,Male,Cloud Computing,2023-10-21,84,Yes
139,S0140,Student_140,29,Female,Cloud Computing,2023-04-18,51,Yes
140,S0141,Student_141,44,Female,Cloud Computing,2023-11-22,79,Yes
141,S0142,Student_142,41,Male,Data Science,2023-11-02,95,No
142,S0143,Student_143,20,Female,Data Science,2023-01-26,84,No
143,S0144,Student_144,43,Male,AI Fundamentals,2023-09-26,64,No
144,S0145,Student_145,20,Male,Data Science,2023-02-22,92,Yes
145,S0146,Student_146,21,Male,Data Science,2023-11-23,80,No
146,S0147,Student_147,21,Female,Cloud Computing,2023-09-11,59,No
147,S0148,Student_148,36,Female,AI Fundamentals,2023-03-15,77,Yes
148,S0149,Student_149,32,Female,Data Science,2023-03-14,57,Yes
149,S0150,Student_150,21,Female,Data Science,2023-05-25,62,Yes
150,S0151,Student_151,38,Female,Cloud Computing,2023-12-18,79,Yes
151,S0152,Student_152,35,Male,Data Science,2023-12-17,86,Yes
152,S0153,Student_153,36,Female,Cloud Computing,2023-09-12,88,Yes
153,S0154,Student_154,32,Male,AI Fundamentals,2023-08-18,78,Yes
154,S0155,Student_155,27,Male,Cloud Computing,2023-10-22,99,Yes
155,S0156,Student_156,44,Female,Cloud Computing,2023-06-26,71,No
156,S0157,Student_157,19,Male,AI Fundamentals,2023-07-08,73,No
157,S0158,Student_158,22,Female,Data Engineering,2023-01-07,87,Yes
158,S0159,Student_159,28,Male,Cloud Computing,2023-04-30,70,Yes
159,S0160,Student_160,40,Male,Data Science,2023-01-02,63,No
160,S0161,Student_161,29,Male,Cloud Computing,2023-07-11,95,Yes
161,S0162,Student_162,26,Female,AI Fundamentals,2023-07-13,90,Yes
162,S0163,Student_163,29,Female,Data Science,2023-05-06,100,Yes
163,S0164,Student_164,20,Female,AI Fundamentals,2023-10-05,91,Yes
164,S0165,Student_165,37,Female,Cloud Computing,2023-10-30,51,No
165,S0166,Student_166,34,Male,AI Fundamentals,2023-09-14,58,Yes
166,S0167,Student_167,18,Female,AI Fundamentals,2023-08-03,89,No
167,S0168,Student_168,40,Female,Data Engineering,2023-06-14,94,Yes
168,S0169,Student_169,18,Male,Cloud Computing,2023-06-04,59,No
169,S0170,Student_170,24,Male,Cloud Computing,2023-05-29,99,No
170,S0171,Student_171,37,Female,Cloud Computing,2023-12-07,67,Yes
171,S0172,Student_172,32,Male,Cloud Computing,2023-08-20,99,No
172,S0173,Student_173,28,Female,Data Science,2023-02-04,75,No
173,S0174,Student_174,37,Male,AI Fundamentals,2023-08-30,73,No
174,S0175,Student_175,42,Female,Cloud Computing,2023-03-03,90,No
175,S0176,Student_176,26,Male,Data Science,2023-06-05,60,No
176,S0177,Student_177,31,Female,Cloud Computing,2023-08-17,76,Yes
177,S0178,Student_178,42,Male,AI Fundamentals,2023-03-15,63,Yes
178,S0179,Student_179,20,Female,Cloud Computing,2023-11-25,81,No
179,S0180,Student_180,21,Female,Data Science,2023-02-22,71,No
180,S0181,Student_181,20,Female,Data Science,2023-03-26,83,No
181,S0182,Student_182,29,Female,AI Fundamentals,2023-11-15,95,Yes
182,S0183,Student_183,31,Female,Cloud Computing,2023-02-18,51,Yes
183,S0184,Student_184,34,Female,Data Science,2023-10-27,82,Yes
184,S0185,Student_185,26,Male,Data Engineering,2023-05-22,93,No
185,S0186,Student_186,26,Female,Cloud Computing,2023-09-23,56,No
186,S0187,Student_187,37,Male,Data Engineering,2023-06-05,84,Yes
187,S0188,Student_188,26,Female,Data Science,2023-04-01,80,Yes
188,S0189,Student_189,44,Male,Data Science,2023-02-04,96,No
189,S0190,Student_190,20,Female,AI Fundamentals,2023-11-23,76,Yes
190,S0191,Student_191,42,Male,AI Fundamentals,2023-02-07,88,Yes
191,S0192,Student_192,38,Female,Cloud Computing,2023-01-07,86,Yes
192,S0193,Student_193,21,Male,Data Science,2023-11-11,67,No
193,S0194,Student_194,30,Female,Data Science,2023-03-27,98,Yes
194,S0195,Student_195,32,Male,Data Science,2023-01-04,62,Yes
195,S0196,Student_196,18,Male,Data Science,2023-03-17,97,No
196,S0197,Student_197,22,Male,Data Engineering,2023-08-23,89,Yes
197,S0198,Student_198,21,Female,Data Science,2023-09-25,98,No
198,S0199,Student_199,31,Male,AI Fundamentals,2023-03-20,98,No
199,S0200,Student_200,29,Female,Cloud Computing,2023-07-31,75,No
200,S0201,Student_201,40,Female,Cloud Computing,2023-10-10,50,No
201,S0202,Student_202,31,Female,Cloud Computing,2023-12-30,88,Yes
202,S0203,Student_203,43,Female,Data Engineering,2023-09-13,80,Yes
203,S0204,Student_204,31,Male,Data Science,2023-03-22,91,Yes
204,S0205,Student_205,29,Female,Cloud Computing,2023-06-13,97,No
205,S0206,Student_206,42,Male,AI Fundamentals,2023-02-22,86,Yes
206,S0207,Student_207,34,Female,Data Engineering,2023-03-22,88,No
207,S0208,Student_208,42,Male,Data Science,2023-07-08,78,Yes
208,S0209,Student_209,39,Female,Data Science,2023-04-10,92,No
209,S0210,Student_210,32,Female,Data Science,2023-05-08,73,No
210,S0211,Student_211,43,Male,Data Science,2023-06-04,65,No
211,S0212,Student_212,34,Female,Data Engineering,2023-02-21,88,Yes
212,S0213,Student_213,43,Female,AI Fundamentals,2023-12-02,88,No
213,S0214,Student_214,40,Female,Data Science,2023-10-11,72,No
214,S0215,Student_215,39,Female,Data Engineering,2023-05-13,98,Yes
215,S0216,Student_216,37,Female,Data Engineering,2023-12-25,57,No
216,S0217,Student_217,19,Female,AI Fundamentals,2023-08-02,87,No
217,S0218,Student_218,26,Female,Data Engineering,2023-04-14,100,Yes
218,S0219,Student_219,18,Female,Data Engineering,2023-08-30,52,No
219,S0220,Student_220,22,Male,Cloud Computing,2023-10-07,63,Yes
220,S0221,Student_221,43,Female,Cloud Computing,2023-12-30,70,No
221,S0222,Student_222,24,Male,AI Fundamentals,2023-04-18,96,Yes
222,S0223,Student_223,39,Female,Cloud Computing,2023-01-23,79,No
223,S0224,Student_224,31,Male,Data Engineering,2023-12-15,82,Yes
224,S0225,Student_225,25,Male,Data Engineering,2023-02-13,69,No
225,S0226,Student_226,42,Male,AI Fundamentals,2023-01-07,94,No
226,S0227,Student_227,42,Female,Data Engineering,2023-07-25,94,No
227,S0228,Student_228,33,Female,AI Fundamentals,2023-05-26,72,Yes
228,S0229,Student_229,27,Male,Cloud Computing,2023-05-06,72,No
229,S0230,Student_230,36,Female,Cloud Computing,2023-10-02,94,Yes
230,S0231,Student_231,26,Female,Data Science,2023-08-29,87,Yes
231,S0232,Student_232,40,Male,Cloud Computing,2023-05-11,84,Yes
232,S0233,Student_233,33,Female,Data Science,2023-01-28,88,No
233,S0234,Student_234,29,Male,Data Science,2023-08-24,71,No
234,S0235,Student_235,24,Male,Data Science,2023-07-27,78,No
235,S0236,Student_236,33,Female,Data Engineering,2023-02-21,98,Yes
236,S0237,Student_237,43,Male,Data Science,2023-08-04,84,No
237,S0238,Student_238,19,Female,Cloud Computing,2023-11-16,51,Yes
238,S0239,Student_239,40,Female,AI Fundamentals,2023-06-08,95,Yes
239,S0240,Student_240,30,Female,Cloud Computing,2023-01-14,96,No
240,S0241,Student_241,42,Female,AI Fundamentals,2023-12-15,67,Yes
241,S0242,Student_242,42,Male,Cloud Computing,2023-08-31,84,Yes
242,S0243,Student_243,21,Female,AI Fundamentals,2023-06-24,93,Yes
243,S0244,Student_244,36,Female,Cloud Computing,2023-06-23,63,No
244,S0245,Student_245,33,Female,AI Fundamentals,2023-04-08,67,Yes
245,S0246,Student_246,21,Male,Data Science,2023-09-18,81,No
246,S0247,Student_247,28,Male,AI Fundamentals,2023-05-19,71,Yes
247,S0248,Student_248,30,Female,Data Science,2023-03-05,84,Yes
248,S0249,Student_249,24,Female,Cloud Computing,2023-10-02,95,No
249,S0250,Student_250,21,Female,AI Fundamentals,2023-07-20,51,Yes
250,S0251,Student_251,40,Female,AI Fundamentals,2023-04-30,55,Yes
251,S0252,Student_252,23,Female,Cloud Computing,2023-11-11,97,No
252,S0253,Student_253,41,Male,Data Science,2023-07-21,100,No
253,S0254,Student_254,29,Female,Data Science,2023-08-27,88,Yes
254,S0255,Student_255,18,Male,Data Engineering,2023-01-13,81,Yes
255,S0256,Student_256,29,Male,Data Engineering,2023-06-07,78,Yes
256,S0257,Student_257,26,Female,Data Engineering,2023-03-20,88,Yes
257,S0258,Student_258,38,Male,AI Fundamentals,2023-12-27,100,Yes
258,S0259,Student_259,28,Female,AI Fundamentals,2023-03-19,98,Yes
259,S0260,Student_260,40,Male,AI Fundamentals,2023-05-18,54,No
260,S0261,Student_261,29,Male,Cloud Computing,2023-07-08,87,Yes
261,S0262,Student_262,23,Female,Data Engineering,2023-03-18,57,No
262,S0263,Student_263,33,Male,Cloud Computing,2023-08-18,53,No
263,S0264,Student_264,26,Female,Data Engineering,2023-06-07,71,Yes
264,S0265,Student_265,20,Female,Data Engineering,2023-04-20,71,No
265,S0266,Student_266,37,Female,AI Fundamentals,2023-03-17,76,Yes
266,S0267,Student_267,43,Female,Data Science,2023-11-12,52,No
267,S0268,Student_268,41,Female,Data Engineering,2023-05-24,78,Yes
268,S0269,Student_269,39,Female,Data Science,2023-06-10,97,Yes
269,S0270,Student_270,37,Male,Cloud Computing,2023-09-12,82,No
270,S0271,Student_271,32,Male,AI Fundamentals,2023-07-28,87,No
271,S0272,Student_272,38,Female,Data Engineering,2023-04-19,83,Yes
272,S0273,Student_273,39,Male,AI Fundamentals,2023-04-25,85,No
273,S0274,Student_274,21,Male,Cloud Computing,2023-01-12,82,Yes
274,S0275,Student_275,21,Female,Data Science,2023-09-29,89,Yes
275,S0276,Student_276,25,Male,AI Fundamentals,2023-10-09,67,No
276,S0277,Student_277,27,Female,AI Fundamentals,2023-10-05,59,No
277,S0278,Student_278,27,Female,Data Engineering,2023-05-31,85,Yes
278,S0279,Student_279,27,Male,Data Science,2023-09-08,94,Yes
279,S0280,Student_280,41,Female,Cloud Computing,2023-12-14,72,Yes
280,S0281,Student_281,21,Female,Data Engineering,2023-04-19,55,Yes
281,S0282,Student_282,32,Female,AI Fundamentals,2023-12-14,72,Yes
282,S0283,Student_283,44,Female,AI Fundamentals,2023-08-20,59,Yes
283,S0284,Student_284,36,Male,Data Science,2023-04-18,51,Yes
284,S0285,Student_285,30,Female,Cloud Computing,2023-04-14,93,No
285,S0286,Student_286,21,Male,Cloud Computing,2023-04-10,55,Yes
286,S0287,Student_287,27,Female,AI Fundamentals,2023-09-02,92,Yes
287,S0288,Student_288,28,Male,Cloud Computing,2023-09-04,54,Yes
288,S0289,Student_289,31,Male,Data Engineering,2023-11-05,57,Yes
289,S0290,Student_290,25,Female,Data Science,2023-10-27,69,No
290,S0291,Student_291,25,Male,AI Fundamentals,2023-12-04,100,Yes
291,S0292,Student_292,39,Female,Cloud Computing,2023-03-06,88,No
292,S0293,Student_293,19,Female,Cloud Computing,2023-10-10,63,No
293,S0294,Student_294,30,Male,Data Engineering,2023-05-16,61,No
294,S0295,Student_295,20,Male,Cloud Computing,2023-12-05,73,No
295,S0296,Student_296,20,Male,Data Engineering,2023-11-28,88,No
296,S0297,Student_297,42,Male,Data Science,2023-11-10,61,No
297,S0298,Student_298,19,Female,AI Fundamentals,2023-07-06,90,No
298,S0299,Student_299,23,Male,Data Engineering,2023-09-27,81,No
299,S0300,Student_300,26,Female,Cloud Computing,2023-08-21,53,No
300,S0301,Student_301,22,Male,Cloud Computing,2023-10-02,52,Yes
301,S0302,Student_302,18,Male,Data Science,2023-05-26,57,Yes
302,S0303,Student_303,29,Female,Data Engineering,2023-06-20,52,No
303,S0304,Student_304,20,Male,AI Fundamentals,2023-10-28,75,No
304,S0305,Student_305,23,Female,Cloud Computing,2023-08-15,96,No
305,S0306,Student_306,39,Male,Data Engineering,2023-07-23,55,Yes
306,S0307,Student_307,34,Male,Cloud Computing,2023-12-10,66,Yes
307,S0308,Student_308,26,Female,AI Fundamentals,2023-11-23,100,No
308,S0309,Student_309,19,Female,Data Engineering,2023-07-26,58,No
309,S0310,Student_310,35,Female,Cloud Computing,2023-02-16,67,Yes
310,S0311,Student_311,34,Female,AI Fundamentals,2023-02-24,100,No
311,S0312,Student_312,21,Female,Data Engineering,2023-06-28,78,Yes
312,S0313,Student_313,42,Female,Data Engineering,2023-02-13,64,Yes
313,S0314,Student_314,26,Female,Data Science,2023-03-07,56,No
314,S0315,Student_315,38,Male,AI Fundamentals,2023-12-24,63,Yes
315,S0316,Student_316,22,Female,Data Engineering,2023-09-20,78,Yes
316,S0317,Student_317,34,Male,Data Science,2023-05-02,53,Yes
317,S0318,Student_318,43,Male,Data Engineering,2023-06-25,94,Yes
318,S0319,Student_319,21,Female,Cloud Computing,2023-06-22,88,No
319,S0320,Student_320,25,Male,Data Science,2023-09-23,97,Yes
320,S0321,Student_321,21,Male,Data Engineering,2023-01-04,54,No
321,S0322,Student_322,36,Female,Cloud Computing,2023-05-04,50,Yes
322,S0323,Student_323,35,Male,Cloud Computing,2023-09-02,61,No
323,S0324,Student_324,19,Female,Cloud Computing,2023-02-04,88,Yes
324,S0325,Student_325,36,Male,Data Science,2023-01-02,56,Yes
325,S0326,Student_326,35,Male,Cloud Computing,2023-10-22,70,Yes
326,S0327,Student_327,38,Female,AI Fundamentals,2023-07-26,56,No
327,S0328,Student_328,20,Male,Data Engineering,2023-12-17,66,No
328,S0329,Student_329,23,Male,AI Fundamentals,2023-05-22,50,Yes
329,S0330,Student_330,23,Female,Cloud Computing,2023-12-09,53,No
330,S0331,Student_331,30,Female,Cloud Computing,2023-02-16,55,Yes
331,S0332,Student_332,30,Male,AI Fundamentals,2023-12-10,97,Yes
332,S0333,Student_333,39,Male,Data Science,2023-10-21,89,Yes
333,S0334,Student_334,20,Female,Cloud Computing,2023-12-16,66,Yes
334,S0335,Student_335,33,Male,Cloud Computing,2023-08-26,75,No
335,S0336,Student_336,39,Female,AI Fundamentals,2023-08-23,80,Yes
336,S0337,Student_337,25,Female,Cloud Computing,2023-12-13,77,No
337,S0338,Student_338,25,Male,Cloud Computing,2023-03-24,61,Yes
338,S0339,Student_339,29,Female,Data Science,2023-01-07,90,Yes
339,S0340,Student_340,40,Female,Data Science,2023-03-16,50,No
340,S0341,Student_341,35,Male,Data Science,2023-01-02,83,No
341,S0342,Student_342,24,Female,Data Science,2023-06-26,75,No
342,S0343,Student_343,25,Male,Data Science,2023-12-02,64,Yes
343,S0344,Student_344,36,Male,Cloud Computing,2023-10-03,98,Yes
344,S0345,Student_345,29,Male,Data Engineering,2023-09-12,84,Yes
345,S0346,Student_346,37,Female,Cloud Computing,2023-05-28,90,No
346,S0347,Student_347,35,Male,Cloud Computing,2023-11-18,100,Yes
347,S0348,Student_348,27,Male,Data Engineering,2023-08-17,100,No
348,S0349,Student_349,32,Male,AI Fundamentals,2023-09-23,93,Yes
349,S0350,Student_350,39,Male,Data Engineering,2023-08-22,88,No
350,S0351,Student_351,27,Female,Data Science,2023-01-14,69,Yes
351,S0352,Student_352,43,Female,Cloud Computing,2023-11-23,92,Yes
352,S0353,Student_353,36,Male,Data Science,2023-09-24,84,No
353,S0354,Student_354,18,Female,Data Engineering,2023-05-02,88,Yes
354,S0355,Student_355,27,Female,AI Fundamentals,2023-10-27,71,Yes
355,S0356,Student_356,29,Female,AI Fundamentals,2023-04-12,70,No
356,S0357,Student_357,35,Male,Cloud Computing,2023-06-18,76,Yes
357,S0358,Student_358,27,Female,Data Engineering,2023-09-02,85,No
358,S0359,Student_359,44,Female,Data Science,2023-09-29,77,No
359,S0360,Student_360,18,Female,Data Science,2023-01-15,53,Yes
360,S0361,Student_361,40,Female,AI Fundamentals,2023-01-01,75,Yes
361,S0362,Student_362,34,Female,Cloud Computing,2023-10-19,57,No
362,S0363,Student_363,28,Male,Data Engineering,2023-04-08,54,No
363,S0364,Student_364,22,Female,Data Science,2023-09-20,54,Yes
364,S0365,Student_365,42,Female,AI Fundamentals,2023-03-30,59,Yes
365,S0366,Student_366,38,Male,Cloud Computing,2023-01-04,54,Yes
366,S0367,Student_367,21,Male,AI Fundamentals,2023-11-21,83,No
367,S0368,Student_368,37,Male,Cloud Computing,2023-04-12,99,No
368,S0369,Student_369,26,Male,Data Engineering,2023-12-18,60,No
369,S0370,Student_370,42,Female,AI Fundamentals,2023-04-25,73,Yes
370,S0371,Student_371,32,Female,Data Science,2023-03-09,98,No
371,S0372,Student_372,41,Female,Cloud Computing,2023-10-18,82,Yes
372,S0373,Student_373,18,Female,AI Fundamentals,2023-09-27,63,Yes
373,S0374,Student_374,37,Female,Cloud Computing,2023-04-24,71,Yes
374,S0375,Student_375,26,Male,AI Fundamentals,2023-12-29,78,Yes
375,S0376,Student_376,25,Female,AI Fundamentals,2023-06-18,73,No
376,S0377,Student_377,41,Male,Data Engineering,2023-10-22,98,Yes
377,S0378,Student_378,31,Male,Data Science,2023-02-12,55,No
378,S0379,Student_379,44,Male,AI Fundamentals,2023-11-20,52,No
379,S0380,Student_380,35,Female,Data Engineering,2023-10-11,50,Yes
380,S0381,Student_381,42,Female,Cloud Computing,2023-05-24,59,No
381,S0382,Student_382,38,Male,Cloud Computing,2023-08-31,57,No
382,S0383,Student_383,41,Male,AI Fundamentals,2023-08-23,79,Yes
383,S0384,Student_384,18,Male,Data Science,2023-04-14,71,No
384,S0385,Student_385,29,Male,Cloud Computing,2023-06-28,66,Yes
385,S0386,Student_386,22,Male,AI Fundamentals,2023-02-14,64,Yes
386,S0387,Student_387,43,Male,Cloud Computing,2023-12-07,69,Yes
387,S0388,Student_388,18,Female,Data Engineering,2023-02-22,87,No
388,S0389,Student_389,28,Male,AI Fundamentals,2023-07-23,76,Yes
389,S0390,Student_390,32,Male,AI Fundamentals,2023-06-22,62,No
390,S0391,Student_391,40,Male,AI Fundamentals,2023-03-23,65,No
391,S0392,Student_392,38,Male,Data Engineering,2023-05-14,69,No
392,S0393,Student_393,36,Male,AI Fundamentals,2023-03-25,68,No
393,S0394,Student_394,22,Female,AI Fundamentals,2023-07-19,92,Yes
